potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
'bok. kei-dei pơma gah. kon sư thoi âu: sư wă kơ bơ̆n arih ling-lang păng sư. bơ̆n gô arih ling-lang tơpă dah bơ̆n lui kơ. kon sư. ||| lời chứng đó là thế này:. thiên. chúa đã ban cho chúng ta sự sống đời đời, và sự sống ấy ở trong. con của. người.
'bok. kei-dei pợịing plẽnh teh păng đĩ-đăng sem tơmam oei lăm teh đak. sư pơgờr plẽnh teh, na sư ưh kơ oei lăm hnam bơngai pơm ôh. ||| đức. chúa. trời đã dựng nên thế- giới và mọi vật trong đỏi lầ. chúa của trời đất, chẳng ngự tại đền-thờbởi tay người ta dựng nên đâu.
'bok. kei-dei sut pơgoh đak măt lu sư, lu sư ưh pă lôch dơ̆ng, lu sư ưh pă đei tơdrong nhơ̆m hmoi ơh sơngondơ̆ng ôh, ưh pă đei tơdrong jĭ jăn păn hnong, yua kơ chăl arih.so hiong tôch boih.'. ||| thiên. chúa sẽ lau sạch nước mắt họ. sẽ không còn sự chết; cũng chẳng còn tang tóc, kêu than và đau khổ nữa, vì những điều cũ đã biến mất."
'bok. kei-dei sư tơpăt dêh, sư ưh kơ hiơt ôh dôm tơdrong. jang iĕm mă sơ̆ mă dang ei; tơ̆drong iĕm 'mêm mơnat dih băl, tơdrong iĕm tơgŭm băl tơduă kon 'bok. kei. dei, yua kơ iĕm băt 'mêm kơ sư. ||| quả thế,. thiên. chúa không bất công đến nỗi quên việc anh em đã làm và lòng yêu mến anh em đã tỏ ra đối với danh. người, khi trước đấy anh em phục vụ các người trong dân thánh, và hiện nay vẫn còn đang phục vụ.
'bok. kei-dei truh đỡng. têman,. kră. yang. tơngla 'lỡng rơgoh truh đờng kông. pharan. (sêla). tơdrong ư-ang sư gom đĩ lu tăl plẽnh,. nờr bơnê ư-ang kơsưjỡp-jang kơ teh đak. ||| này. thiên. chúa tự miền. tê-man ngự giá, tự núi. pa-ran, kìa ðức. thánh quang lâm. bóng uy phong rợp chín tầng trời, câu chúc tụng vang mười phương đất.
'bok. kei-dei tơbôh kơ bơn tơdrong sư 'mêm mơnat kơ bơn tơpă thoi âu: sư wơh. kon pôm sưjur tơ ala teh âu wă kơ sư lôch tang bơ̆n, wă kơ bơn arih ling-lang hăm sư. ||| tình yêu của. thiên. chúa đối với chúng ta được biểu lộ như thế này:. thiên. chúa đã sai. con. một đến thế gian để nhờ. con. một của. người mà chúng ta được sống.
'bok. kei-dei tơ̆bằt kơ lu sư dôm tơdrong lu sư wă pơma khan lê̆ hơdrol ..noh, sư ưh kơ ăn truh chăl arih lu sư ôh, sư ăn truh chăl arih lu bơ̆n dang ei. thoi noh na 'bok. kei-dei ăn. yang. bơhngol 'lơ̆ng sư jụr oei hăm lu 'bok bcrtho tơdrong 'nao 'lơ̆ng. yêsu. krist, hă lu 'bok bơthŏ noh roi tơbăt kơ iĕm boih tơdrong sư wă pơklaih bơ̆n noh. lu linh jang kơpal plĕnh kư̆m wă kơ hlôh tơdrong 'noh mơ̆n. ||| thiên. chúa đã mặc khải cho các ngài biết là các ngài có phận sự truyền đạt thông điệp ấy, không phải cho chính mình, mà là cho anh em. đó là thông điệp mà nay các người giảng. tin. mừng đã loan báo cho anh em, nhờ tác động của. thánh. thần là đấng đã được cử đến từ trời. chính các thiên thần cũng ước mong được tìm hiểu kỹ lưỡng thông điệp ấy.
'bok. kei-dei wă kơ bơ̆n pơm 'lơ̆ng ling-lang, thoi noh na lu bơngai ưh kơ hlôh pơŏm 'bơ̆r huay pă pơma kơ bơ̆n dơ̆ng. ||| vì ý muốn của. thiên. chúa là anh em hãy làm điều thiện để bịt miệng những kẻ ngu xuẩn vô tri.
'bok. kei-dei wă kơ lu sư gô hơdai bơ̆n dang ei iŏk tơdrong hiôk 'lơ̆ng đêl sư.pơkă, wă khăn tơdrong. yêsu .krist jur dŏng pơklaih bơ̆n. ||| quả thật,. thiên. chúa đã trù liệu cho chúng ta một phần phúc tốt hơn, nên không muốn cho họ đạt tới hạnh phúc trọn vẹn mà không có chúng ta.
'bok. kei-dei wă phak lu sư tơpă, yua kơ lu sư pơm kơnê̆ dang ei. lu sư lăp đon kơ tơdrong ngôi kư̆ kă kơnăr kư̆m bưh ưh kơ băt mơlâu kơ đe. năr iĕm sŏng sa tih, lu sư kửm năm sŏng sa hơdai iĕm. mă-lei lu sưsa dưdêh, wă kơ mă hrăp kơ hơlŏng klak kơdih, ưh kơ băt kơ mơlâu kơ bôl buăl. lu sư pơm tơdrong noh kơplah iĕm akŭm băl tơdrong 'lŏng, thoi lĕ kơ ao 'nao mă sưmơgri. ||| họ đã ăn ở bất chính thì được trả công bằng sự bất chính. họ coi việc sống phóng đãng giữa ban ngày như một khoái lạc, họ là những người đầy khuyết điểm và tỳ ố, thích thú vì những chuyện lừa gạt của mình, trong lúc vui vẻ với anh em.
'bok. kei-dei ăn kơ bơn jing bơngaĭ 'nao sựwă kơdih đĕch, na sư ăn kơ bơn kơtơ̆ng to'drong sư, lu bơ̆n jing thoi 'ba hrŏih kơ lu bơngai nai yua kơ bơn lui hơdrol. ||| người đã tự ý dùng. lời chân lý mà sinh ra chúng ta, để chúng ta nên như của đầu mùa trong các thọ tạo của. người.
'bok. kei-dei ăn kơ bơ̆n. yang. bơhngol 'lơ̆ng sư wă kơ dŏng bơ̆n lăm tôm tơdrong tơpă. sư ăn. yang. bơhngol 'lơ̆ng kơlih kơ bơ̆n lui kơ. yêsu. krist mă 'bok. dŏng. pơklaih bơ̆n. ||| thiên. chúa đã tuôn đổ đầy tràn ơn. thánh. thần xuống trên chúng ta, nhờ đức. giê-su. ki-tô, đấng cứu độ chúng ta.
'bok. kei-dei ặn kơ lu bơngai lui bơ̆n tôm tơdrong hơgei phara, na bơ̆n athei jang kiơ̆ kơ sư ăn kơ bơ̆n hơgei-noh, wă kơ.bơ̆n gơh tơgŭm băl. ||| ơn riêng. thiên. chúa đã ban, mỗi người trong anh em phải dùng mà phục vụ kẻ khác. như vậy, anh em mới là những người khéo quản lý ân huệ thiên hình vạn trạng của. thiên. chúa.
'bok. kei-đei ăn kơ akăn sư hrŭk ao che 'bui kok hơdah rang dêh.". ao che 'bui kok hơdah rang noh wă pơtih gia kơ lu kon 'bok. kei-dei jing bơngai 'lơ̆ng tơpăt boih. ||| vì nay đã tới ngày cử hành hôn lễ. con. chiên, và. hiền. thê của. người đã trang điểm sẵn sàng, nàng đã được mặc áo vải gai sáng chói và tinh tuyền."
'bok. kla lech et đak tơ thong iĕ jĕ noh. ||| hổ ra uống nước ở một dòng suối gần đấy.
'bok. kla ngih kơ. kop kơdâu hmĕnh hloh kơ hăp tơpă kơ'na hăp rai hơdrin kơ'nôh kơdâu mă hmĕnh loi dâng. ||| hô tường rùa chạy nhanh hon mình thật nên càng cố sức.
'bok. kla pâma rah pàng kotah hloi lâm halung. ||| cọp vừa nói, vừa nhảy xuống.
'bok. mikael, 'bok mă pơgơ̆r tơduă lu sư linh jang 'lơ̆ng, kơplah yŏng yang kơnê̆ wă pơiei iŏk atâu. môis, 'bok. mikael ưh kơ pơ̆n pơma jâu kơnề kơ yang ei ôh. sư pôm pơma thoi âu đĕch: "inh gô mơ̆ng kơ 'bok. kei-dei đĕch khă e.". ||| khi bàn cãi và tranh luận với quỷ về thi hài ông. mô-sê, ngay cả tổng lãnh thiên thần. mi-ca-en cũng không dám đưa ra một phán quyết nào phạm đến nó, mà chỉ nói:. xin. chúa trừng phạt ngươi!
'bok. nôê sơ̆ kư̆m yua kơ sư lui, na lăp sư kơtơ̆ng 'bok. kei-dei khan kơ sư ning-mônh gô đei tơdrong truh na sư lui hloi. sư pơm minh pôm duk tih wă dŏng pơklaih hnam dơnŏ sư. sư chu 'bok. kei-dei, thoi nŏh na sư tơbăt kơ bơ̆n 'bok. kei-dei jô̆ đĭ-đăng kon bơngai nai yoch ngăl. pôm 'bok. nôê đĕch 'bok. kei-dei jô̆ bơngai 'lơ̆ng, yua kơ sư đei đon lui kơ 'bok. kei-dei kơiăp. ||| nhờ đức tin, ông. nô-ê được. thiên. chúa báo cho biết những gì người ta chưa thấy; vì có lòng kính sợ. thiên. chúa, ông đã đóng một chiếc tàu để cứu gia đình ông. tin như thế là ông đã lên án thế gian, và được phần gia nghiệp là sự công chính nhờ đức tin.
'bok. pơlă. ja. jal klaih tơchĕng hăp tơl: ||| nghĩ một lát ông. pơlă. jă. jal đáp:
'bok. pơlă. jă. jal khan kơ. giông: ||| lúc đó ông. pơlă. jă. jal nói với. giông:
'bok. pơlă. jă. jal khan kơ. giông: ||| ông. pơlă. jă. jal nói với. giông:
'bok. pơlă. jă. jal khan kơgiông: ||| ông. pơlă. jă. jal nói với. giông:
'bok. pơlă. jă. jal khan: ||| ông. pơlă. jă. jal mời:
'bok. pơlă. jă. jal kơdrăt, pă gơh năng, chêk bơlêk hrah đang tơrŏng, tŭk lê̆ tong jra, tŭk lê̆ tăng đơ̆ng 'bơ̆r boih. ||| trước ánh hào quang rực rỡ từ. giông khiến ông. pơlă. jă. jal giật nảy mình và ngã ngửa, chiếc gậy bị buông thả ngay từ tay ông và cái tẩu thuốc cũng tự rời khỏi môi miệng của ông vì ông chóa cả mắt trước ánh hào quang của. giông. ông đã không nhìn thấy. giông.
'bok. pơlă. jă. jal lơlĕhloi: ||| ông. pơlă. jă. jal hiểu ngay liền.
'bok. pơlă. jă. jal năm pơdriu yă. sut. lao: ||| lúc đó ông. pơlă. jă. jal đi đánh thức bà. sut. lao:
'bok. pơlă. jă. jal păng năng gơliu đĕch boih, hrê̆ năng hơ drơh hnam đĕch boih: ||| ông. pơlă. jă. jal cúi nhìn nền nhà trầm ngâm suy nghĩ. một lúc sau ông mới nói:
'bok. pơlă. jă. jal truh tơangir boih, bô̆k hloh amăng jang năng năng dơdoan pơhrĕng dơ doan amieu. giông dơ̆ng to. ||| ông. pơlă. jă. jal bước tới cổng làng và qua khỏi cổng gặp ngay chàng trai oai vệ, đó chính là. giông.
'bok. pơlă. jă. jal tơtă. giông dôm noh. ||| ông. pơlă. jă. jal chỉ nói với. giông bấy nhiêu đó, rŏi bà. sut. lao dìu chŏng về phòng ngủ của họ.
'bok. pơlă. jă. jal tơtơ̆tơtâi hloi đĕch boih. ||| ông. pơlă. jă. jal xúc động đến run lên, rŏi khóc sụt sùi.
'bok. pơlă. jă. jal, kră oei jăng hơnang oei pran pơm chĕp tong jra, pơma oei deh đĕch. ||| ông. pơlă. jă. jal già mà khỏe, ông xách cây gậy cho có lệ, gọi lớn:
'bok. pơlă. jă. jal: ||| ông. pơlă. jă. jal nhắc:
'bok. pơlă. jăjal tơl: ||| ông. pơlă. jă. jal nói:
'bok. rah chep săng chong duh man jahngâm pran chava dĭ. ||| bò...lấy gan ăn cùng., heo, lên núi hái thuốc cho. rít, rồi dặn chàng cho ông. rơh mồi lần uổng thuốc là mổ một con gà, trâu, ông. bơ. jàu nghe xong
'bok. rah dei 4 'nu kon hadruh pràr guàng, tôm de hàp duh sang truh sanàm iok klo. ||| khi dân làng đến đông đủ, ông mới nói:
'bok. rah nàng lâm mir bre hàp jang monhang bre hàp sang hadrin jang chong tadrong jang tam ma ragei loi, tam dei bu tayâng iok kon hadruh hàp. ||| con gái của ông. rơh là nàng. pia. phu, không thấy. rít đâu mới đi tìm.
'bok. rah wà chà ka kân hàp klo ragei juah, pa'nam ka jang. ||| hôm nay dân làng chúng ta đi kiểm các cột để làm nhà rông.
'bok. rah ăn hăp mă ya hăp duh chê iĕ. ||| ông nhờ. rít đi tìm một. bơjâu để chữa cho mình.
'bok. ria athei ŏng hăp jĭ. dăm. san năm rôp bre 'hrĭt. ||| bot. ría liền ra lệnh cho con rể là chàng đãm. xoa đến bắt anh em. rít.
'bok. rŏk apinh bre kon dăm: ||| bác. rỗk liền hỏi hai cậu con trai:
'bok. rŏk chă tah anhĕng ăn kơ. giông mu hơnŭng por, mu hơnŭngsem: ||| ông. rŏk đưa cho. giông các gói cơm, gói thịt gà và nói:
'bok. rŏk pojing dăm. phă. pomang păng. rang. hơmơ̆l. ||| phă. pơnang và. rang. hơmơ̆l là hai người con trai của ông. rŏk.
'bok. rŏk păng 'bok. set anhŏng oh minh pôm mĕ 'bă. ||| ông. rŏk và ông. set là hai anh em ruột thịt.
'bok. rơh athei iĕr tơmỏns; năm joh ier choh kŏnh kơdih, athei kŏ lua năm kăp, kŏ duh tơgơ̆ hơnenh. ||| bot. rot sai gà chọi đến mỗ thì mỏ gà bị quặp, sai chó săn đến cắn thì răng chó bị gẫy.
'bok. rơh athei kơnôr ĭch jur tơ kơpal teh năm pơ tang kơ kon bomgai lơìé. ||| tam-cứ-tróc bảo ít ức xuống đất tin cho người biết.
'bok. rơh chă rơih jâp taring bĭ đei bu tơyâng wă ăn oei kơ kon hơdruch hăp, 'bok. rơh tŏđon păns sa'ngon. ||| khi nhà rông sắp dựng lên, ông. rơh mới đến hỏi. rít xem nên dựng cây cột thần kia ở đâu.
'bok. rơh duh iŏk hră pơnah lơlăi thoi yă -ke dĭ chŏng bĭ trŏ yang. sơ-ri. ||| bót. rơ lại vác nỏ ra bắn đuổi.
'bok. rơh jĭ bơngai pơdrŏng, đei gŏ bìáng hlunh hlanh thoi yă tơlê̆, chĭng chêng thoi tơmo lâm thong, ge sik duh lơ krâch krăch 'bĕnh lâm hnam, hrĕng hrai kơpô, rơmo, đĭch dam. ||| bót. rơ thì giàu có. nhà lão nồi đồng nhiều như ốc sên, chiêng đồng lắm như đá ngoài bờ suối, ché quý đựng rượu cũng lắm, xếp đầy nhà.
'bok. rơh kơtâng đe ư. hrĭt hin dơnuh chŏng đei đon bơnôh 'lâng. ||| tiếng đồn về chàng. hơ- rít nghèo nhưng tôt bụng vang cả nãm mười bển nước đầu đèo.
'bok. rơh mĭl lach kơ hăp, athei lĭnh dâng plenh. wang rôp bu mă paĭ khâr hnam hăp. ||| bot. rot tức giận quát mang ầm ĩ, sai quân lính nhà trời đi vây bắt kẻ nào phá hoại.
'bok. rơh năns lăp kơ đon jat. ||| rít bảo không biết vì chàng thấy cô nào cŭng đê̆u xinh đẹp,. trò chuyện được một lúc, cô chị mới hỏi. rít trong ba chị em thì chàng muốn lấy ai, dịu dàng.
'bok. rơh pơdrŏng chŏng kret pơxet. ||| bót. rơ giàu có nhưng keo kiệt.
'bok. rơh pơkăl, kră, hơmuh, drănglo, dră kăn lâm pơlei athei tơra khong tơmam wă et so păng athei rĭm 'nu năm hơvih kơ ŭnh hnam hăp. ||| lão buộc già, gái, trai trong buôn phải nộp lề mừng, trẻ, và bắt rất nhiều người tới phục dịch buổi lễ của nhà lão.
'bok. rơh tơl tơdah kơ kơnôr ĭch lĕ ". kon bơngai hơ'blih hơkar hơrih ling lang, gah 'bih athei lôch". ||| bot. rot trả lời rõ ràng là "người lột da sống mãi, còn rắn phải chêt".
'bok. set apah đĭ đăng ăn kơ kăn hăp phe, ăn kơ đe 'ba. ||| chình vì vậy mà ông. set mới có được đám rẫy rộng lớn như thế.
'bok. set khan kơ yă bia, hơkăn hăp: ||| một hòm ông. set bàn với vợ rằng:
'bok. set khan: ||| bác. set nói:
'bok. set kơchĕng jâp plei teh layơ mă đei nhŭng hon hơke ai bre? ||| ông thầm nghĩ:. ta tìm đâu ra con heo mọc sừng với con dê mọc nanh cơ chứ?
'bok. set oei kơyă bia. sĭn pơjing đe. giông,. giơ̆, bia. lŭi. ||| còn ông. set lấy bà bia. sìn sinh ra. giông,. giơ̆ và bia. lùi.
'bok. set oei tep, wă jĕ angah thoi đêl đăi. ||| thần lão già nói với ông. set rằng:
'bok. set rôp ti. giông, bâr 'bok. set pơma tơpă ră tơdah tôm tĕch khĕch khoch. ||| ông. set nắm bàn tay. giông vá ông bắt đầu nói ra hết cho con trai đầu những điều cần dặn dò:
'bok. set sơleng tôch đon. ||| ông. set choáng váng cả đầu, không biết tình như thế nào.
'bok. set sơ̆ bĭ khĭn ră ăn kơ iĕm kơlih mănhang ră ăn kơ iĕm, iĕm chă đei dơ̆ng yơ tơmam mă plet plet. ||| bác. set lúc đó không nói cho các chàng biết là vì dù có nói ra các người cũng không làm gì được gì, kiếm không ra đâu vì đòi hỏi một việc không thể có được.
'bok. set tơchĕng mă nhang ră ăn kơ iĕm tơdrong mănoh, chŏng iĕm gơh chă đei đơ̆ng y ơ đei nhŭng hon hơke bơbe hon grĕng. ||| dù bác. set có nói rõ điều đó cho mọi người biết, nhưng mọi người tìm đâu ra heo có sừng vả dê có răng nanh chứ.
'bok athei đĭch dam tôh chêng hơxuang rơđŭk rơđăk. ||| lão ra lệnh cho tôi tớ đánh chiêng rộn rịp.
'bok bơtho hơlĕnh pơdăr noh, lu sư khan wă ăn kơ lu bơngai noh rơngei, mă-lei tă kơ lu sư dơ̆ng jing đĭch, yua kơ lu sư ưh kơ kĕ gơ̆t kơ tơdrong pơm yoch, jing wă pơrăm akâu kơdih. tơdrong kiơ bơ̆n ưh kơ kĕ pơgơ̆t; tơdrong noh bơ̆n oei đĭch.'. ||| họ hứa cho những kẻ đó được tự do, nhưng chính họ lại làm nô lệ cho lối sống dẫn đến hư vong, vì đã thua ai thì phải làm nô lệ người ấy.
'bok dah xơng iŏk gah lôch đĕch, mă thoi yơ yơ hơnŏk duh minh trong ai đĕch. ||| bác. set đành chấp nhận chuốc lấy cái chết thôi. chỉ có vậy thôi.
'bok e gĭ kơdih. e năng ho dăm! ||| cha có thể đoán biết sẽ có một ngày cha được trở về, cha sẽ trở lại như một con người trước đây.
'bok hrê̆ năng tơ kơpal teh 'bôh teh 'brê kơhâng, rơhŭl rơhăi pă 'bôh mình joi 'long noh 'bok pơtơm lơlĕ tơdrong. yang. grain,. yang. glaih thoi yơ. ||| thấy mặt đất đỏ tựa da cam sành, trống trơ vắng vẻ mới hay đưọc sai sót của thần sấm sét., ông ta vén mây nhìn xuống trần gian
'bok hơrih thoi âu đĕch, kiơ̆ kơ kră leng. ||| xưa nay ta vẫn sống cuộc đời bình dị thế này thôi...
'bok iung hơrih klaih kơ đang tôm tơdrong 'bă amơ̆i, noh gô đei tơdrong tơblah tơ blŭng. ||| chàng rõ rồi chứ? sau khi bác trai sống lại, đôi ta thành thân rồi cuộc chiến lớn xảy ra.
'bok iĕ đưk ti hơdar hơdeh kơdrăt 'bôh hăp tih kơjung rơngôch, hơbĕn ao hăp hrâp hiah goh. ||| chú lẳng lặng đứng dậy vươn vai một cải thì tự nhiên cao lớn hẳn lên, áo quần cũ mẹ chú may cho chú bị xé toan«.
'bok kră bơr đon hiôk chơt. ||| ông già tính tình vui vẽ
'bok kră đu bơnôh xô̆xôn. ||| ông già tính tình vui vẽ
'bok lu nhôn kơkuh kơ yang. baal tơ. pêôr,. sa tơmam soi pơm yang kơ bơngai lôch;. ||| tổ-phụ chúng tôi cũng cúng-thờ. ba-anh-phê-ô, ăn của-lễ cúng kẻ chết;
'bok mă oei tơ tang-dŏ ei inh lăng sư dang tơmo rang mơnhal, tăp dăr kơ tang-dŏ sư oei ei đei hơdah jơk thoi plĕnh chro. yôhan lĭôh bar-jit puăn 'nu lu đe kră. ||| đấng ngự đó trông giống như ngọc thạch và xích não. chung quanh ngai có cầu vồng trông giống như bích ngọc.
'bok mă pơm kơdranh kơ dôm tơdrong âu sư khan: "inh wă jê̆ jur tơpă.". tơpă, ơ. kră. yang. yêsu, dah jur bĕ. ||| đấng làm chứng về những điều đó phán rằng: "phải, chẳng bao lâu nữa. ta sẽ đến.". a-men, lạy. chúa. giê-su, xin ngự đến!
'bok pai gŏ ei iŏk 'nhĕm sĕch blu na dan 'bơ̆t anăp. sôl. samuel khan: 'nhĕm mă dan 'bơ̆t anăp ih sa bĕ; 'nâu mă 'nhĕm inh athei 'măn lê̆ pha wă ăn kơ ih sa năr 'nâu hơdai hăm lu bơngai mă inh krao wơ̆n. lăm năr noh,. sôl sŏng sa hơdai hăm. samuel. ||| đầu bếp lấy chả vai và miếng bọc chung quanh, đem dọn cho. sau-lơ. sa-mu-ên tiếp rằng:. kìa, miếng đã để dành cho ngươi ở trước mặt ngươi; hãy ăn đi, từ khi ta định mời dân sự, ta đã giữ nó lại về tiệc nầy. vậy, trong ngày đó,. sau-lơ ăn bữa cùng. sa-mu-ên.
